nama_pengulas,ulasan,rating,nama_gerai,text_clean,word_count,sentiment,aspek_rasa,sentimen_rasa,aspek_harga,sentimen_harga,aspek_pelayanan,sentimen_pelayanan,aspek_kecepatan,sentimen_kecepatan,aspek_kebersihan,sentimen_kebersihan,aspek_stok,sentimen_stok,aspek_aplikasi,sentimen_aplikasi,rating_num
Baskara abas,"Mantap, tempatnya nyaman, bakalan dateng lagi dan lagi mantep pelayanannya juga ramah",5 bintang,KopiKenangan-RukoGreenville,mantap tempat nyaman dateng mantap layan ramah,7,positive,0,None,0,None,1,negative,0,None,1,positive,0,None,0,None,5.0
Zhang thonny,Saya menilai sabjektif dari segi tempat dan kenyamanan saja bukan dr segi pelayanan itu relatif setiap orang pasti berbeda ya..!!! … Lainnya,4 bintang,KopiKenangan-RukoGreenville,nilai sabjektif segi nyaman dr segi layan relatif beda iya,10,positive,0,None,0,None,1,negative,0,None,1,negative,0,None,0,None,4.0
Suhendri Suhendri,"Pesan antar via kenangan app. Pesan tambahan boba, dibilang habis, mau ganti grass jelly, juga habis.
KALO HABIS, JANGAN DIJUAL DI APP!!!!! Mau untung aja. … Lainnya",1 bintang,KopiKenangan-RukoGreenville,pesan via kenang app pesan tambah boba bilang habis ganti grass jelly habis habis jual app untung,17,negative,1,positive,0,None,0,None,0,None,0,None,1,negative,1,negative,1.0
Sukamto SH,"Malas sama staff atas nama putra.
sy tawarin temen buat pesan kopi di kopken, pesan 4 gelas di buatin 3 gelas. Sampai kantor kurang 1 gelas. Sy minta kopi nya kembali tetapi staff atas Putra bersikeras sudah buatin 4 gelas. Lainnya",1 bintang,KopiKenangan-RukoGreenville,malas staff nama putra tawarin teman pesan kopi kopken pesan gelas buatin gelas kantor gelas kopi nya staff putra sikeras buatin gelas,22,negative,1,negative,0,None,1,negative,0,None,0,None,0,None,1,negative,1.0
Ivyna Martin,"Asik banget semakin banyak cabangnya. Tiap ke RS bisa mampir beli
Jenis pesanan…
Lainnya",5 bintang,KopiKenangan-RukoGreenville,asik banget cabang rs mampir beli pesan,7,positive,1,neutral,0,None,0,None,0,None,0,None,0,None,1,neutral,5.0
Muhammad Arsyad,Tolong dong petugas CWE sift pagi tanggal18 juli 2025 di ganti...semua orang nunggu udah 15 menit masih cetak struk.... … Lainnya,1 bintang,KopiKenangan-RukoGreenville,tugas cwe sift pagi tanggal juli gantisemua nunggu menit cetak struk,11,negative,0,None,0,None,0,None,1,negative,0,None,0,None,0,None,1.0
hen lia Ciell,"Sudah lebih baik
Sekarang
buka tenggo 07 pagi bulan bulan lalu mesti jam 07 datang Lom ready kopi nya … Lainnya",5 bintang,KopiKenangan-RukoGreenville,buka tenggo pagi mesti jam ready kopi nya,8,positive,1,negative,0,None,0,None,1,negative,0,None,0,None,0,None,5.0
Dwiyan Septiansyah,"Tempatnya nyaman buat ngopii,ademm, staff ramahh manteppp
Makanan: 5…
Lainnya",5 bintang,KopiKenangan-RukoGreenville,tempat nyaman ngopiiademm staff ramahh manteppp makan,7,positive,0,None,0,None,1,neutral,0,None,1,positive,0,None,0,None,5.0
Komang Ayu,"tempatnya nyamann, bersihh, baristanya ramah ramah👍🏻 …
Makanan: 5…
Lainnya",5 bintang,KopiKenangan-RukoGreenville,tempat nyamann bersihh baristanya ramah ramah makan,7,positive,0,None,0,None,1,negative,0,None,1,neutral,0,None,0,None,5.0
Natalia Sentosa,"Sudah ada perubahan soal jam buka. Tapi sekali lagi tolong untuk karyawan nya diberikan pelatihan SOP soal service. Seperti : senyum, sapa, sopan. Ketika customer meminta request itu artinya sudah paham resiko nya. Jd sesuai noted aja mbak. … Lainnya",2 bintang,KopiKenangan-RukoGreenville,ubah jam buka karyawan nya beri latih sop service senyum sapa sopan customer request paham resiko nya noted mbak,19,negative,0,None,0,None,1,negative,1,negative,0,None,0,None,0,None,2.0
Rina Marlina,"Kasir sangat amat judess, pelayanan tidak menyenangkan! Baru kali ini di layanin kaya gini. Mentang-mentang saya pake promo hut bca, padahal kan saya cuman menggunakan promo yg ada, toh juga kalo gaada promo pun saya tetep beli ko, ini kaya orang ga seneng banget kaya ga boleh banget pake itu promo Lainnya",1 bintang,KopiKenangan-RukoGreenville,kasir judess layan senang layanin kaya gin mentangmentang pakai promo hut bca kan cuman guna promo tidak ada uang promo tetep beli ko kaya ga neng banget kaya ga banget pakai promo,32,negative,1,negative,1,negative,1,negative,0,None,0,None,0,None,0,None,1.0
nanda sri susilawati,"kasian ya lagi rame2nya, staff cuman 1
Jenis pesanan
Makan di tempat…
Lainnya",3 bintang,KopiKenangan-RukoGreenville,kasi iya ramenya staff cuman pesan makan,7,neutral,1,neutral,0,None,1,neutral,0,None,0,None,0,None,1,neutral,3.0
Miltken Gunawan,"Staff nya ramah dan cepat , tempat nyaman
Makanan: 5…
Lainnya",5 bintang,KopiKenangan-RukoGreenville,staff nya ramah cepat nyaman makan,6,positive,0,None,0,None,1,negative,1,negative,1,positive,0,None,0,None,5.0
adeline,"Baristanya hanya 1. Agak lama jdnya. Tp tempatnya lumayan ok, cukup bersih
Jenis pesanan…
Lainnya",4 bintang,KopiKenangan-RukoGreenville,baristanya agak jdnya tempat lumayan ok bersih pesan,8,positive,1,neutral,0,None,1,negative,0,None,1,negative,0,None,1,neutral,4.0
Shoppa Holic,"Toilet panas, gk ada tisu, sabun cuci tangan juga gk dikasih, lantai dua juga gk dikasih nyalain ac ama lampu dimatiin, kalo gk mampu bayar cost buka cafe di ruko mending jualan pake gerobak aja keliling oke bos edward Lainnya",1 bintang,KopiKenangan-RukoGreenville,toilet panas gk tisu sabun cuci tangan gk kasih lantai gk kasih nyalain ac lampu dimatiin gk bayar cost buka cafe rumah toko lebih baik jual pakai gerobak keliling oke bos edward,32,negative,1,negative,0,None,0,None,0,None,0,None,0,None,0,None,1.0
Berry Febriadi,"Parah pelayanan kaum gen z di kopken ini,
Bukannya pelayanan di nomor 1 kan tp malah ngoprek"" cucian yg lama bner.. kek sengaja ga mau ngelayanin pdahal ada 3 org kryawannya Lainnya",1 bintang,KopiKenangan-RukoGreenville,parah layan kaum gen z kopken bukan layan nomor kan ngoprek cuci bner sengaja ga ngelayanin pdahal org kryawannya,19,negative,0,None,0,None,1,negative,0,None,0,None,0,None,0,None,1.0
Muti andini,Kenangan milk teanya masih enakan di shell kedoya atau palmerah kitchen. Di sini hambar padahal pesan normal sugar. Rasa susunya jg tidak berasa. Tolong ditingkatkan lagi soalnya saya penggemar kenangan milk tea dan outletnya dekat dari rumah huhu Lainnya,3 bintang,KopiKenangan-RukoGreenville,kenang milk teanya enak shell kedoya palmerah kitchen hambar pesan normal sugar susu asa tingkat gemar kenang milk tea outletnya rumah huhu,22,neutral,1,negative,0,None,0,None,0,None,0,None,0,None,1,negative,3.0
chandra wijaya,"Enak utk nongkrong
Makanan: 5
Layanan:…
Lainnya",5 bintang,KopiKenangan-RukoGreenville,enak nongkrong makan layan,4,positive,1,negative,0,None,1,neutral,0,None,0,None,0,None,0,None,5.0
Kenny,"enak dan kopi nya juga josss
Makanan: 5…
Lainnya",5 bintang,KopiKenangan-RukoGreenville,enak kopi nya josss makan,5,positive,1,negative,0,None,0,None,0,None,0,None,0,None,0,None,5.0
Poncol 555,"Resto bener2.udh tau orderan ramen.malah sendirian yg kerja.buang2 waktu doang... goblok..
Suasana:…
Lainnya",1 bintang,KopiKenangan-RukoGreenville,resto benerudh order ramenmalah kerjabuang doang bodoh suasana,8,negative,1,neutral,0,None,0,None,0,None,1,neutral,0,None,1,negative,1.0
Intan Eliza,Toko sudah buka tapi tidak melayanin 👎👎👎👎 …,1 bintang,KopiKenangan-RukoGreenville,toko buka melayanin,3,negative,0,None,0,None,0,None,0,None,0,None,0,None,0,None,1.0
jenni samosir,"WC bauk Pesing, nggak ada dibersihkan🙏 …
Makanan: 5…
Lainnya",1 bintang,KopiKenangan-RukoGreenville,wc bauk pesing bersih makan,5,negative,0,None,0,None,0,None,0,None,1,negative,0,None,0,None,1.0
Putri kholifah Maasah,"Mba mbanya gak ramah jutek ,belum waktunya closing udah di usir duluan padahal baru jam 9.20
Jenis pe…
Lainnya",2 bintang,KopiKenangan-RukoGreenville,mbak mbanya gak ramah galak closing usir duluan jam pe,10,negative,0,None,0,None,1,negative,1,neutral,0,None,0,None,0,None,2.0
M. Lukman Hakim,"Terlalu lama Menunggunya
Layanan: 1…
Lainnya",1 bintang,KopiKenangan-RukoGreenville,tunggu layan,2,negative,0,None,0,None,1,neutral,1,negative,0,None,0,None,0,None,1.0
Babe Yoga,"Tidak terlalu ramai, pelayan cepat, tempat bersih
Jenis pesanan
Makan di…
Lainnya",5 bintang,KopiKenangan-RukoGreenville,ramai layan cepat bersih pesan makan,6,positive,1,neutral,0,None,1,negative,1,negative,1,negative,0,None,1,neutral,5.0
Olle Saputra,"Buruk pelayanan nya, lama. Harus nya di tambah karyawan nya
Jenis pesanan…
Lainnya",1 bintang,KopiKenangan-RukoGreenville,buruk layan nya nya karyawan nya pesan,7,negative,1,neutral,0,None,1,negative,0,None,0,None,0,None,1,neutral,1.0
Keanu Rahardja,"Pelayanan cepat dan ramah
Jenis pesanan
Bawa pulang…
Lainnya",5 bintang,KopiKenangan-RukoGreenville,layan cepat ramah pesan bawa pulang,6,positive,1,neutral,0,None,1,negative,1,negative,0,None,0,None,1,neutral,5.0
gita apriyanti,"pelayanan nya kurang,",1 bintang,KopiKenangan-RukoGreenville,layan nya,2,negative,0,None,0,None,1,neutral,0,None,0,None,0,None,0,None,1.0
Pipit Safitri,Pelayanan nya kurang,1 bintang,KopiKenangan-RukoGreenville,layan nya,2,negative,0,None,0,None,1,neutral,0,None,0,None,0,None,0,None,1.0
Putri Alicia,"Cocok buat nongkrong sambil ngopi"" cantik😋🥰. Recommended …
Makanan: 5…
Lainnya",4 bintang,KopiKenangan-RukoGreenville,cocok nongkrong ngopi cantik recommended makan,6,positive,0,None,0,None,0,None,0,None,0,None,0,None,0,None,4.0
Sutan Abdillah,"Tempatnya dingin banget
Jenis pesanan
Makan di tempat…
Lainnya",5 bintang,KopiKenangan-RukoGreenville,tempat dingin banget pesan makan,5,positive,1,negative,0,None,0,None,0,None,1,negative,0,None,1,neutral,5.0
Era Fazira,"Baristanya cakep jadi pengen nafkahin☺️
Jenis pesanan
Makan di tempat…
Lainnya",5 bintang,KopiKenangan-RukoGreenville,baristanya cakep ken nafkahin pesan makan,6,positive,1,neutral,0,None,1,negative,0,None,0,None,0,None,1,neutral,5.0
Ryuri,"GOKILNYA MANA GOKILNYAA🔥🔥 …
Jenis pesanan
Bawa pulang…
Lainnya",5 bintang,KopiKenangan-RukoGreenville,gokilnya gokilnyaa pesan bawa pulang,5,positive,1,neutral,0,None,0,None,0,None,0,None,0,None,1,neutral,5.0
Zahra Zahra,"minuman n makanannya enakk,ac nya dinginn cocok buat nongkrong bareng temen atau pasangan
Makanan:…
Lainnya",5 bintang,KopiKenangan-RukoGreenville,minum makan enakkac nya dinginn cocok nongkrong bareng teman pasang makan,11,positive,1,negative,0,None,0,None,0,None,0,None,0,None,0,None,5.0
Kambing Conge,tempat nya enak buat nongkrong bareng temen atau pacar makanan & minuman nya oke banget & pegawai nya ramah dan sopan banget Lainnya,5 bintang,KopiKenangan-RukoGreenville,nya enak nongkrong bareng teman pacar makan minum nya oke banget pegawai nya ramah sopan banget,16,positive,1,negative,0,None,1,negative,0,None,1,negative,0,None,0,None,5.0
Tjahjadi Gunawan,"Tempat ini terus menerus melakukan improvement, menuju better condition Dari awal buka hingga hari ini pun masih melakukan improvement, walaupun ada kekurangan dari jumlah ketersediaan pegawai disaat jam sibuk sehingga order delay lama, itu yang perlu diperbaiki dengan pengaturan waktu yang baik. Lainnya",5 bintang,KopiKenangan-RukoGreenville,terus laku improvement tuju better condition awal buka hingga laku improvement kurang sedia pegawai saat jam sibuk order delay baik atur,21,positive,0,None,0,None,1,negative,1,negative,0,None,1,negative,1,negative,5.0
Muhammad Roihan,"Gokil nongs dimari
Makanan: 5
Layanan:…
Lainnya",5 bintang,KopiKenangan-RukoGreenville,gila nongs mari makan layan,5,positive,0,None,0,None,1,neutral,0,None,0,None,0,None,0,None,5.0
Aditya Anwar,"Tempat nya enak buat nongkrong dan ngobrol2 bareng teman serta pelayanan nya juga bagus good 👍 …
Jenis…
Lainnya",5 bintang,KopiKenangan-RukoGreenville,nya enak nongkrong ngobrol bareng teman layan nya bagus good,10,positive,1,negative,0,None,1,negative,0,None,0,None,0,None,0,None,5.0
Dharma Gunawan,"Mantep banget pelayanan ramah
Makanan: 5…
Lainnya",5 bintang,KopiKenangan-RukoGreenville,mantap banget layan ramah makan,5,positive,0,None,0,None,1,positive,0,None,0,None,0,None,0,None,5.0
Test Email,"- letaknya strategis
- parkir motor bayar 2000
- ruko nya 2 lantai (atas ada non smoking dan luar smoking area) … Lainnya",5 bintang,KopiKenangan-RukoGreenville,letak strategis parkir motor bayar rumah toko nya lantai non smoking smoking area,13,positive,0,None,0,None,0,None,0,None,0,None,0,None,0,None,5.0
Hengki Phang,"Tolong apapun yang ada disini perbaiki saya sebagai customer walaupun belanja murah jujur kecewa.
1. Berisik banget anjirr ketok ketok meja tiap saat, gw mau meeting online sampe … Lainnya",1 bintang,KopiKenangan-RukoGreenville,apa sini baik customer belanja murah jujur kecewa berisik banget anjirr ketok ketok meja meeting online,16,negative,0,None,1,negative,1,negative,0,None,1,positive,0,None,0,None,1.0
So Lit,"Lampunya redup kuning banget, lt dua gelap, kran nya kotor putih², toiletnya kotor
Layanan: 5…
Lainnya",1 bintang,KopiKenangan-RukoGreenville,lampu redup kuning banget lt gelap kran nya kotor putih toilet kotor layan,13,negative,0,None,0,None,1,neutral,0,None,1,negative,0,None,0,None,1.0
Insaghi Christian,"Semua staff nya humble & very helpful, thank u kak della 👍🏻 …
Jenis pesanan…
Lainnya",5 bintang,KopiKenangan-RukoGreenville,staff nya humble very helpful thank kak della pesan,9,positive,1,neutral,0,None,1,negative,0,None,0,None,0,None,1,neutral,5.0
Yuri Joe,"Kopinya enak....pelayanan ya standard coz I'm not king anymore.
Yg penting bayar, kopi dibikin. Liat2 sikon aja, klo baristanya sibuk ya bisa lama. … Lainnya",5 bintang,KopiKenangan-RukoGreenville,kopi enakpelayanan iya standard im not king anymore bayar kopi bikin lihat situasi dan kondisi baristanya sibuk iya,18,positive,1,negative,0,None,1,positive,0,None,0,None,0,None,0,None,5.0
erna aje,"Pelayanan sangat bagus
Makanan: 5
Layanan:…
Lainnya",5 bintang,KopiKenangan-RukoGreenville,layan bagus makan layan,4,positive,0,None,0,None,1,negative,0,None,0,None,0,None,0,None,5.0
Ririk Andriyani,Karyawannya sangat baik. Membantu disaat banyak driver yang tidak mau ambil pesanan.. Rasa kopinya enak.. sukses terus ya Lainnya,5 bintang,KopiKenangan-RukoGreenville,karyawannya saat driver ambil pesan kopi enak sukses iya,9,positive,1,negative,0,None,1,negative,0,None,0,None,0,None,1,negative,5.0
Hilda alviana,"Cukup nyaman dan hangat untuk bekerja.
Makanan: 5…
Lainnya",5 bintang,KopiKenangan-RukoGreenville,nyaman hangat makan,3,positive,0,None,0,None,0,None,0,None,1,negative,0,None,0,None,5.0
Herman,Terletak di antara dua kedai kopi terkenal (Aming dan Arah).,5 bintang,KopiKenangan-RukoGreenville,letak kedai kopi kenal aming arah,6,positive,1,positive,0,None,0,None,0,None,0,None,0,None,0,None,5.0
Kathy White,"Suka sekali!!! Salah satu kopi favoritku!
Jenis pesanan
Makan di tempat…
Lainnya",5 bintang,KopiKenangan-RukoGreenville,suka salah kopi favorit pesan makan,6,positive,1,negative,0,None,0,None,0,None,0,None,0,None,1,neutral,5.0
Fadil,"Bagus 👍 …
Makanan: 4
Layanan:…
Lainnya",5 bintang,KopiKenangan-RukoGreenville,bagus makan layan,3,positive,0,None,0,None,1,neutral,0,None,0,None,0,None,0,None,5.0
Muhamad Ihsan Nurzaman,"Kelas
Makanan: 5
Layanan: 5…
Lainnya",5 bintang,KopiKenangan-RukoGreenville,kelas makan layan,3,positive,0,None,0,None,1,neutral,0,None,0,None,0,None,0,None,5.0
Putra Indra,terrrrrrrrr terbaiktttttt,5 bintang,KopiKenangan-RukoGreenville,terrrrrrrrr terbaiktttttt,2,positive,0,None,0,None,1,neutral,0,None,0,None,0,None,0,None,5.0
Daffa Arif,"sangat kuat, sangat oke, nongs dimarii
Makanan: 5…
Lainnya",5 bintang,KopiKenangan-RukoGreenville,kuat oke nongs mari makan,5,positive,0,None,0,None,0,None,0,None,0,None,0,None,0,None,5.0
Aifa Aini,"Nyaman banget buat wfc atau nongki, adem dan tenang, +++ ada mushola bersih dan nyaman
Jenis pesanan…
Lainnya",5 bintang,KopiKenangan-RukoIrHJuanda3Jakarta,nyaman banget wfc nongki adem tenang mushola bersih nyaman pesan,10,positive,1,neutral,0,None,0,None,0,None,1,positive,0,None,1,neutral,5.0
Mutiara Jeihan,"Tempat nyaman dua lantai dan pelayanan ramah dan cepat.

Akhirnya ada juga store di dekat sekolah nyokap, jadi nunggu jemput nyokap bisa nongkrong di sini.👍👍👍 … Lainnya",5 bintang,KopiKenangan-RukoIrHJuanda3Jakarta,nyaman lantai layan ramah cepat store sekolah ibu nunggu jemput ibu nongkrong,12,positive,0,None,0,None,1,negative,1,negative,1,negative,0,None,0,None,5.0
Anindya Alfachrany,"tempatnya nyaman bgt , tukang parkirnya lucu WKWKWKWKWK bersih jugaa, baristanya humble bgt
Makanan:…
Lainnya",5 bintang,KopiKenangan-RukoIrHJuanda3Jakarta,tempat nyaman banget tukang parkir lucu wkwkwkwkwk bersih jugaa baristanya humble banget makan,13,positive,0,None,0,None,1,neutral,0,None,1,neutral,0,None,0,None,5.0
nanda susanto,"Mantap Selangkah dari rumah tempat enak buat nongkrong
Jenis pesanan
Mak…
Lainnya",5 bintang,KopiKenangan-RukoIrHJuanda3Jakarta,mantap selang rumah enak nongkrong pesan ibu,7,positive,1,negative,0,None,0,None,0,None,0,None,0,None,1,neutral,5.0
Richvin Juliana,"Tempat nya Bersih Dan Cozy
Jenis pesanan
Makan di tempat…
Lainnya",5 bintang,KopiKenangan-RukoIrHJuanda3Jakarta,nya bersih cozy pesan makan,5,positive,1,neutral,0,None,0,None,0,None,1,negative,0,None,1,neutral,5.0
chalidaainun nisrina,"Store nya baru deket bgt sama kantor dan barista nya juga ramah dan informatif
Makanan: 5…
Lainnya",5 bintang,KopiKenangan-RukoIrHJuanda3Jakarta,store nya deket banget kantor barista nya ramah informatif makan,10,positive,0,None,0,None,1,positive,0,None,0,None,0,None,0,None,5.0
daynaera,"tempat nyaman untuk wfc!! pelayanan sangat ramah⭐️⭐️⭐️⭐️⭐️
Jenis pesanan…
Lainnya",5 bintang,KopiKenangan-RukoIrHJuanda3Jakarta,nyaman wfc layan ramah pesan,5,positive,1,neutral,0,None,1,negative,0,None,1,positive,0,None,1,neutral,5.0
Jeremy 151,"disini pelayanannya sangat baik, ramah dan sangat cepat pelayanannya😘😘 …
Makanan: 5…
Lainnya",5 bintang,KopiKenangan-RukoIrHJuanda3Jakarta,sini layan ramah cepat layan makan,6,positive,0,None,0,None,1,negative,1,negative,0,None,0,None,0,None,5.0
Marissa Eriyana,"Tempat nya bagus, nyaman dan pelayanan nya baik
Makanan: 5…
Lainnya",5 bintang,KopiKenangan-RukoIrHJuanda3Jakarta,nya bagus nyaman layan nya makan,6,positive,0,None,0,None,1,positive,0,None,1,negative,0,None,0,None,5.0
ella Mahri,"Wah recomend bgt kalo mau nongki cantik ditempat ini, krn tempatnya aesthetic bgt
Slain itu yg paling the best pelayanan cepet Barista nya ramah² bgt Lainnya",5 bintang,KopiKenangan-RukoIrHJuanda3Jakarta,recomend banget nongki cantik tempat tempat aesthetic banget slain best layan cepat barista nya ramah banget,16,positive,1,positive,0,None,1,positive,1,negative,1,negative,0,None,0,None,5.0
Dwiky Reziandino,"Kopinya juara, pelayanannya ramah, tempatnya enak buat santai sambil wfc
Tarif per orang…
Lainnya",5 bintang,KopiKenangan-RukoIrHJuanda3Jakarta,kopi juara layan ramah tempat enak santai wfc tarif,9,positive,1,negative,0,None,1,negative,0,None,1,negative,0,None,0,None,5.0
siti rohma gia,"Tempat nya nyaman, baru juga dan sepi. Menyenangkan sekali, enak buat kerja 🫶 …
Jenis pesanan…
Lainnya",5 bintang,KopiKenangan-RukoIrHJuanda3Jakarta,nya nyaman sepi senang enak kerja pesan,7,positive,1,negative,0,None,0,None,0,None,1,positive,0,None,1,neutral,5.0
Adit Gusty,"Seating area nya luas , nyaman, baristanya ramah ramah
Tarif per orang
R…
Lainnya",5 bintang,KopiKenangan-RukoIrHJuanda3Jakarta,seating area nya luas nyaman baristanya ramah ramah tarif r,10,positive,0,None,0,None,1,negative,0,None,1,positive,0,None,0,None,5.0
Daffa Putra Maliki,"Kopi Kenangan Ternyaman Di Dunia 🫰 …
Makanan: 5…
Lainnya",5 bintang,KopiKenangan-RukoIrHJuanda3Jakarta,kopi kenang nyaman dunia makan,5,positive,1,positive,0,None,0,None,0,None,1,positive,0,None,0,None,5.0
Naz Sqy,"Tempat nya nyaman bgt buat belajar, pelayanan nya cepet banyak promo menarik, barista nya juga ramah ramah Lainnya",5 bintang,KopiKenangan-RukoIrHJuanda3Jakarta,nya nyaman banget ajar layan nya cepat promo tarik barista nya ramah ramah,13,positive,0,None,1,positive,1,negative,1,negative,1,positive,0,None,0,None,5.0
Bintang Mahindra,"KopKen baru buka di juanda.. buy 1 get 1.. mantabs..
Makanan: 5…
Lainnya",5 bintang,KopiKenangan-RukoIrHJuanda3Jakarta,kopken buka juanda buy get mantabs makan,7,positive,0,None,0,None,0,None,0,None,0,None,0,None,0,None,5.0
Mia Sri Susanti,"Tempatnya baru deket kantor, enak adem, ada lt 2nya juga, bakal sering nongkrong di sini sii
Jenis pe…
Lainnya",5 bintang,KopiKenangan-RukoIrHJuanda3Jakarta,tempat deket kantor enak adem lt nya nongkrong sii pe,10,positive,1,negative,0,None,0,None,0,None,1,positive,0,None,0,None,5.0
Lea Christiani,"Lokasi strategis, cozy, dan pelayanan ok
Makanan: 5…
Lainnya",5 bintang,KopiKenangan-RukoIrHJuanda3Jakarta,lokasi strategis cozy layan ok makan,6,positive,0,None,0,None,1,positive,0,None,1,neutral,0,None,0,None,5.0
Lany Harlianto,"Tempatnya nyaman banget, pelayanan cepat
Jenis pesanan
Bawa pulang…
Lainnya",5 bintang,KopiKenangan-RukoIrHJuanda3Jakarta,tempat nyaman banget layan cepat pesan bawa pulang,8,positive,1,neutral,0,None,1,neutral,1,neutral,1,positive,0,None,1,neutral,5.0
Fauzi Qori Alchakim,Enak dan baru ... tapi pusing lama lama duduk disini masih bau debu. Sebelum buka seharusnya di bersihin dlu lah semua project debunya. Lainnya,3 bintang,KopiKenangan-RukoIrHJuanda3Jakarta,enak pusing duduk sini bau debu buka bersihin project debu,10,neutral,1,negative,0,None,0,None,0,None,1,negative,0,None,0,None,3.0
Herbeth Naftaly,"tempatnya baru dan enak
Makanan: 5…
Lainnya",5 bintang,KopiKenangan-RukoIrHJuanda3Jakarta,tempat enak makan,3,positive,1,negative,0,None,0,None,0,None,1,negative,0,None,0,None,5.0
Maria Putri,"Nyaman sekali dan sudah beberapa kali kesini, tempatnya bersih dan dingin. Perfect for wfc!
Makanan:…
Lainnya",5 bintang,KopiKenangan-RukoIrHJuanda3Jakarta,nyaman kesini tempat bersih dingin perfect for wfc makan,9,positive,1,negative,0,None,0,None,0,None,1,negative,0,None,0,None,5.0
oktavia lolong,"Tempatnya cozy banget, cocok buat meeting client atau nongkie2...
Jenis pesanan…
Lainnya",5 bintang,KopiKenangan-RukoIrHJuanda3Jakarta,tempat cozy banget cocok meeting client nongkie pesan,8,positive,1,neutral,0,None,0,None,0,None,1,positive,0,None,1,neutral,5.0
Santi Apriyani,"Tempatnya nyaman , pelayanannya ramah ,
Jenis makanan
Makan siang…
Lainnya",5 bintang,KopiKenangan-RukoIrHJuanda3Jakarta,tempat nyaman layan ramah makan makan siang,7,positive,0,None,0,None,1,negative,0,None,1,positive,0,None,0,None,5.0
Haris furniture,"Tempat nya bagus dan nyaman
Makanan: 5…
Lainnya",5 bintang,KopiKenangan-RukoIrHJuanda3Jakarta,nya bagus nyaman makan,4,positive,0,None,0,None,0,None,0,None,1,negative,0,None,0,None,5.0
julius setianus,"Tempat nyaman , pelayanan oke
Makanan: 5…
Lainnya",5 bintang,KopiKenangan-RukoIrHJuanda3Jakarta,nyaman layan oke makan,4,positive,0,None,0,None,1,positive,0,None,1,positive,0,None,0,None,5.0
Aan Ariska,"Tempatnya nyaman & asik
Makanan: 5…
Lainnya",5 bintang,KopiKenangan-RukoIrHJuanda3Jakarta,tempat nyaman asik makan,4,positive,0,None,0,None,0,None,0,None,1,positive,0,None,0,None,5.0
Alfian Kosasi,"Tempatnya nyaman. Staff nya ramah. Keren
Makanan: 5…
Lainnya",5 bintang,KopiKenangan-RukoIrHJuanda3Jakarta,tempat nyaman staff nya ramah keren makan,7,positive,0,None,0,None,1,negative,0,None,1,positive,0,None,0,None,5.0
FREDRICO 13,"baru buka dekat kantor,jd tiap hari beli kopi,mayan ada promo buy  1 get 1",5 bintang,KopiKenangan-RukoIrHJuanda3Jakarta,buka kantorjd beli kopimayan promo buy get,7,positive,0,None,1,neutral,0,None,0,None,0,None,0,None,0,None,5.0
Syefi Elison,"Tempat nya enak, rasanya juga enak, pelayanan ramah
Tarif per orang
Rp 2…
Lainnya",5 bintang,KopiKenangan-RukoIrHJuanda3Jakarta,nya enak enak layan ramah tarif rp,7,positive,1,negative,0,None,1,neutral,0,None,0,None,0,None,0,None,5.0
Geraldo Stefano,"tempat nyaman dan pelayanan memuaskan
Makanan: 5…
Lainnya",5 bintang,KopiKenangan-RukoIrHJuanda3Jakarta,nyaman layan muas makan,4,positive,0,None,0,None,1,negative,0,None,1,negative,0,None,0,None,5.0
Johny Arthawijaya,"Tempat nya cozy

Cocok utk meeting atau sekedar kongkow
Jenis pesanan
Ma…
Lainnya",5 bintang,KopiKenangan-RukoIrHJuanda3Jakarta,nya cozy cocok meeting kumpul bareng teman pesan ma,9,positive,1,neutral,0,None,0,None,0,None,1,negative,0,None,1,neutral,5.0
Abdul Aziz,"Tempat nya bagus, dan racikan nya enakkk
Makanan: 5…
Lainnya",5 bintang,KopiKenangan-RukoIrHJuanda3Jakarta,nya bagus racik nya enakkk makan,6,positive,1,neutral,0,None,0,None,0,None,1,negative,0,None,0,None,5.0
Sri Wahyuni,"Tempatnya bagus, karyawannya ramah, bersih dan enak untuk nongkrong
Jenis pesanan…
Lainnya",5 bintang,KopiKenangan-RukoIrHJuanda3Jakarta,tempat bagus karyawannya ramah bersih enak nongkrong pesan,8,positive,1,negative,0,None,1,negative,0,None,1,negative,0,None,1,neutral,5.0
Zakia Amala,"Nyaman buat nongky
Makanan: 5
Layanan:…
Lainnya",5 bintang,KopiKenangan-RukoIrHJuanda3Jakarta,nyaman nongky makan layan,4,positive,0,None,0,None,1,neutral,0,None,1,positive,0,None,0,None,5.0
Senja Hannabila Arly,"Buy 1 get 1 buruu ke siniii
Makanan: 5…
Lainnya",5 bintang,KopiKenangan-RukoIrHJuanda3Jakarta,buy get buruu siniii makan,5,positive,0,None,0,None,0,None,0,None,0,None,0,None,0,None,5.0
Amelia Nanda,"kopi kenangan baru yang ada di juanda, deket sama kantor hihihih sukakkk
Makanan: 5…
Lainnya",5 bintang,KopiKenangan-RukoIrHJuanda3Jakarta,kopi kenang juanda deket kantor hihihih sukakkk makan,8,positive,1,negative,0,None,0,None,0,None,0,None,0,None,0,None,5.0
